Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteDemo1,Chrome 120.0.0.0,,,09-04-2024 12:26:55,09-04-2024 12:28:23,1m - 28.144s,PASSED
,,,,,,,
Test Cases/Demo/ScriptModeDemo,Chrome 120.0.0.0,,,09-04-2024 12:26:55,09-04-2024 12:28:23,1m - 27.984s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,09-04-2024 12:26:56,09-04-2024 12:26:59,3.845s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,09-04-2024 12:26:59,09-04-2024 12:28:11,1m - 11.223s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 120.0.0.0,,,09-04-2024 12:28:11,09-04-2024 12:28:13,2.213s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 120.0.0.0,,,09-04-2024 12:28:13,09-04-2024 12:28:13,0.464s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 120.0.0.0,,,09-04-2024 12:28:13,09-04-2024 12:28:14,0.355s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 120.0.0.0,,,09-04-2024 12:28:14,09-04-2024 12:28:22,8.528s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,09-04-2024 12:28:22,09-04-2024 12:28:23,1.151s,PASSED
