Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteDemo1,Chrome 120.0.0.0,,,09-04-2024 12:20:35,09-04-2024 12:21:04,28.986s,PASSED
,,,,,,,
Test Cases/Demo/ScriptModeDemo,Chrome 120.0.0.0,,,09-04-2024 12:20:36,09-04-2024 12:21:04,28.712s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,09-04-2024 12:20:36,09-04-2024 12:20:40,4.227s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,09-04-2024 12:20:40,09-04-2024 12:20:54,14.038s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 120.0.0.0,,,09-04-2024 12:20:54,09-04-2024 12:20:57,2.655s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 120.0.0.0,,,09-04-2024 12:20:57,09-04-2024 12:20:57,0.402s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 120.0.0.0,,,09-04-2024 12:20:57,09-04-2024 12:20:58,0.345s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 120.0.0.0,,,09-04-2024 12:20:58,09-04-2024 12:21:03,5.425s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,09-04-2024 12:21:03,09-04-2024 12:21:04,1.164s,PASSED
