Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteDemo1,Chrome 120.0.0.0,,,10-04-2024 10:05:59,10-04-2024 10:06:16,17.015s,PASSED
,,,,,,,
Test Cases/Demo/ScriptModeDemo,Chrome 120.0.0.0,,,10-04-2024 10:05:59,10-04-2024 10:06:16,16.814s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,10-04-2024 10:06:00,10-04-2024 10:06:03,3.798s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,10-04-2024 10:06:03,10-04-2024 10:06:10,6.115s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 120.0.0.0,,,10-04-2024 10:06:10,10-04-2024 10:06:11,1.380s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 120.0.0.0,,,10-04-2024 10:06:11,10-04-2024 10:06:11,0.456s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 120.0.0.0,,,10-04-2024 10:06:11,10-04-2024 10:06:12,0.376s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 120.0.0.0,,,10-04-2024 10:06:12,10-04-2024 10:06:15,3.236s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,10-04-2024 10:06:15,10-04-2024 10:06:16,1.124s,PASSED
